Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
6.0,7.0,10890.0,9.295600216,1815.0,1.166666667,17447.19927,18.00816093799353,17.48107115846154,0,160000000,18.89068437
4.0,5.0,1361.25,7.216158674,340.3125,1.25,12331.10324,17.52449479365033,17.0930370689899,0,18000000,16.70588232
3.0,4.0,900.0,6.802394763,300.0,1.333333333,22000.0,18.00816093799353,17.38481072169611,1,53000000,17.78580247
5.0,6.0,5445.0,8.602453035,1089.0,1.2,21120.29385,17.52449479365033,17.63082525563043,0,125000000,18.6438243
0.0,0.0,5445.0,8.602453035,5445.0,0.0,7978.723404,16.7407250003125,17.48107115846154,1,37500000,17.43985149
6.0,6.0,1080.0,6.98471632,180.0,1.0,22000.0,17.52449479365033,17.38481072169611,1,26000000,17.0736071
2.0,2.0,1400.0,7.244227516,700.0,1.0,9550.045914,16.74009781756667,17.63082525563043,1,11000000,16.21340583
3.0,3.0,1350.0,7.207859871,450.0,1.0,22000.0,16.74009781756667,17.38481072169611,0,25500000,17.05418901
0.0,0.0,5445.0,8.602453035,5445.0,0.0,15861.09024,16.7407250003125,17.48107115846154,1,12500000,16.3412392
4.0,5.0,2722.5,7.909305855,680.625,1.25,61111.11111,17.30156670857143,17.48107115846154,0,54500000,17.81371126
6.0,6.0,5445.0,8.602453035,907.5,1.0,21120.29385,17.52449479365033,17.63082525563043,0,119000000,18.59463405
5.0,5.0,3267.0,8.091627412,653.4,1.0,13957.75941,17.52449479365033,17.2241481738,0,66000000,18.0051653
7.0,6.0,9000.0,9.104979856,1285.714286,0.857142857,24334.251605,17.52449479365033,17.38481072169611,0,360000000,19.70161459
4.0,5.0,5445.0,8.602453035,1361.25,1.25,17053.65342,17.30156670857143,17.48107115846154,0,85000000,18.25816181
5.0,6.0,5445.0,8.602453035,1089.0,1.2,61111.11111,18.00816093799353,17.48107115846154,0,90000000,18.31532023
6.0,7.0,5445.0,8.602453035,907.5,1.166666667,19283.74656,17.52449479365033,17.63082525563043,1,79500000,18.19126758
5.0,5.0,2178.0,7.686162303,435.6,1.0,15861.09024,17.52449479365033,17.48107115846154,0,42500000,17.56501463
5.0,5.0,5445.0,8.602453035,1089.0,1.0,13957.75941,17.52449479365033,17.0930370689899,0,71500000,18.08520801
4.0,7.0,1633.5,7.398480231,408.375,1.75,23875.11478,17.52449479365033,17.30474131619205,0,45000000,17.62217305
